episodes,means,stds
0.000000000000000000e+00,3.100000000000000000e+01,1.289271926879882812e+01
1.000000000000000000e+00,1.910000038146972656e+01,6.367452144622802734e+00
2.000000000000000000e+00,2.420000076293945312e+01,1.536084461212158203e+01
3.000000000000000000e+00,2.729999923706054688e+01,1.666699981689453125e+01
4.000000000000000000e+00,2.179999923706054688e+01,9.003703117370605469e+00
5.000000000000000000e+00,1.920000076293945312e+01,6.232531070709228516e+00
6.000000000000000000e+00,2.460000038146972656e+01,1.415156078338623047e+01
7.000000000000000000e+00,1.530000019073486328e+01,3.591656923294067383e+00
8.000000000000000000e+00,2.260000038146972656e+01,9.465727806091308594e+00
9.000000000000000000e+00,1.989999961853027344e+01,7.837942123413085938e+00
1.000000000000000000e+01,2.239999961853027344e+01,8.208396911621093750e+00
1.100000000000000000e+01,2.970000076293945312e+01,1.521001148223876953e+01
1.200000000000000000e+01,2.379999923706054688e+01,1.086073493957519531e+01
1.300000000000000000e+01,2.129999923706054688e+01,7.196449756622314453e+00
1.400000000000000000e+01,1.939999961853027344e+01,7.244921684265136719e+00
1.500000000000000000e+01,1.950000000000000000e+01,7.367345333099365234e+00
1.600000000000000000e+01,1.950000000000000000e+01,1.036286067962646484e+01
1.700000000000000000e+01,2.160000038146972656e+01,9.033271789550781250e+00
1.800000000000000000e+01,2.020000076293945312e+01,7.435649871826171875e+00
1.900000000000000000e+01,1.870000076293945312e+01,6.961002349853515625e+00
2.000000000000000000e+01,2.000000000000000000e+01,9.018499374389648438e+00
2.100000000000000000e+01,2.160000038146972656e+01,1.228549289703369141e+01
2.200000000000000000e+01,2.010000038146972656e+01,7.795297622680664062e+00
2.300000000000000000e+01,2.810000038146972656e+01,1.459413909912109375e+01
2.400000000000000000e+01,1.710000038146972656e+01,5.743595600128173828e+00
2.500000000000000000e+01,2.339999961853027344e+01,1.200185203552246094e+01
2.600000000000000000e+01,3.050000000000000000e+01,1.822848892211914062e+01
2.700000000000000000e+01,2.250000000000000000e+01,8.897564888000488281e+00
2.800000000000000000e+01,2.079999923706054688e+01,9.704524040222167969e+00
2.900000000000000000e+01,1.580000019073486328e+01,4.565571784973144531e+00
3.000000000000000000e+01,2.070000076293945312e+01,9.592242240905761719e+00
3.100000000000000000e+01,2.050000000000000000e+01,8.847473144531250000e+00
3.200000000000000000e+01,2.650000000000000000e+01,1.307457256317138672e+01
3.300000000000000000e+01,2.250000000000000000e+01,1.251887416839599609e+01
3.400000000000000000e+01,2.139999961853027344e+01,1.023284435272216797e+01
3.500000000000000000e+01,1.789999961853027344e+01,6.590396881103515625e+00
3.600000000000000000e+01,2.100000000000000000e+01,4.109609127044677734e+00
3.700000000000000000e+01,2.150000000000000000e+01,8.984554290771484375e+00
3.800000000000000000e+01,2.439999961853027344e+01,2.341509437561035156e+01
3.900000000000000000e+01,1.789999961853027344e+01,5.279941082000732422e+00
4.000000000000000000e+01,2.579999923706054688e+01,1.199814796447753906e+01
4.100000000000000000e+01,1.860000038146972656e+01,8.946756362915039062e+00
4.200000000000000000e+01,1.979999923706054688e+01,5.391351222991943359e+00
4.300000000000000000e+01,1.950000000000000000e+01,5.502524852752685547e+00
4.400000000000000000e+01,2.039999961853027344e+01,9.287984848022460938e+00
4.500000000000000000e+01,2.439999961853027344e+01,1.095648002624511719e+01
4.600000000000000000e+01,2.060000038146972656e+01,7.058485984802246094e+00
4.700000000000000000e+01,2.029999923706054688e+01,1.421306133270263672e+01
4.800000000000000000e+01,1.850000000000000000e+01,8.086339950561523438e+00
4.900000000000000000e+01,1.710000038146972656e+01,5.685263633728027344e+00
5.000000000000000000e+01,2.379999923706054688e+01,1.209958648681640625e+01
5.100000000000000000e+01,2.610000038146972656e+01,8.385834693908691406e+00
5.200000000000000000e+01,2.089999961853027344e+01,1.918593215942382812e+01
5.300000000000000000e+01,2.389999961853027344e+01,9.689054489135742188e+00
5.400000000000000000e+01,2.300000000000000000e+01,1.096458911895751953e+01
5.500000000000000000e+01,2.489999961853027344e+01,1.230582523345947266e+01
5.600000000000000000e+01,2.389999961853027344e+01,2.317781448364257812e+01
5.700000000000000000e+01,1.779999923706054688e+01,6.663332462310791016e+00
5.800000000000000000e+01,2.110000038146972656e+01,8.252272605895996094e+00
5.900000000000000000e+01,2.489999961853027344e+01,1.902892494201660156e+01
6.000000000000000000e+01,1.679999923706054688e+01,5.633234500885009766e+00
6.100000000000000000e+01,1.860000038146972656e+01,1.078270244598388672e+01
6.200000000000000000e+01,2.089999961853027344e+01,1.012642288208007812e+01
6.300000000000000000e+01,1.979999923706054688e+01,5.473166942596435547e+00
6.400000000000000000e+01,2.160000038146972656e+01,8.395766258239746094e+00
6.500000000000000000e+01,1.860000038146972656e+01,1.269470596313476562e+01
6.600000000000000000e+01,3.020000076293945312e+01,2.383181762695312500e+01
6.700000000000000000e+01,1.710000038146972656e+01,5.782156467437744141e+00
6.800000000000000000e+01,2.110000038146972656e+01,7.680422306060791016e+00
6.900000000000000000e+01,2.850000000000000000e+01,1.333541679382324219e+01
7.000000000000000000e+01,2.310000038146972656e+01,1.361739063262939453e+01
7.100000000000000000e+01,2.470000076293945312e+01,1.314914417266845703e+01
7.200000000000000000e+01,2.329999923706054688e+01,1.159549713134765625e+01
7.300000000000000000e+01,2.300000000000000000e+01,1.367885589599609375e+01
7.400000000000000000e+01,2.489999961853027344e+01,1.238682079315185547e+01
7.500000000000000000e+01,2.320000076293945312e+01,1.428130054473876953e+01
7.600000000000000000e+01,1.850000000000000000e+01,5.562773227691650391e+00
7.700000000000000000e+01,2.150000000000000000e+01,8.072587013244628906e+00
7.800000000000000000e+01,1.960000038146972656e+01,9.070096969604492188e+00
7.900000000000000000e+01,2.150000000000000000e+01,1.024423980712890625e+01
8.000000000000000000e+01,2.079999923706054688e+01,1.860585403442382812e+01
8.100000000000000000e+01,2.900000000000000000e+01,1.368697643280029297e+01
8.200000000000000000e+01,2.139999961853027344e+01,6.040603160858154297e+00
8.300000000000000000e+01,1.929999923706054688e+01,9.428679466247558594e+00
